Package,Brand,License
,,
"Operating System","Windows7 Windows 8.1 Professional Servicepack1","Microsoft Campus Volume Agreement (60 systems)"
"Operating System","Linux Mint17.1","Open Source (11 systems)"
Application,"YEd Graphics Editor",Freeware
Application,"Python 3.4.3",Freeware
,,
Application,RStudio,Freeware
Application,"Microsoft Visual Studio","Campus agreement"
Application,"Netbeans IDE 8.0.2",
Application,Eclipse,Freeware
Application,"Microsoft Office 2007","Microsoft Campus Agreement"
Compiler/Interpreter,"Dev- c++(4.9.9.2)",Freeware
Compiler/Interpreter,"java (jdk1.6.)",Freeware
"Tool and design","Winrar 4.20",Freeware
"Tool and design","Ccleaner 4.08.4428",Freeware
Antivirus,"K7 Antivirus","Campus Volume Agreement"
